true,pred
13.213094,13.241024
13.423679,13.524374
10.265562,9.768037
12.912857,12.875169
9.624486,9.949961
10.383691,10.071519
12.994316,12.897773
9.724255,9.973708
12.893467,12.900062
13.327233,13.058706
10.524361,10.297077
8.136237,8.749618
12.013352,11.991948
13.77017,13.853934
12.383767,12.222711
11.220402,10.919181
13.2779875,13.498349
12.281591,12.325038
10.15364,9.577933
11.526997,11.412471
9.4222975,9.802143
12.475809,12.417826
10.160582,10.19753
9.065596,9.472578
9.628254,9.511564
11.985257,11.8746805
11.735813,11.458784
8.9903145,9.183771
11.647779,11.662325
13.517363,13.5576515
9.454386,9.893936
11.23358,11.144796
11.850818,11.895211
12.653819,12.75664
12.536625,12.518123
11.669851,11.662417
10.841592,10.532347
12.500966,12.556971
10.602919,9.969063
9.001014,9.471439
12.339277,12.579546
10.827419,10.688019
12.926861,12.87086
11.141364,10.530792
12.928806,13.009606
12.4988365,12.5945015
13.183313,13.16211
13.7623205,13.767609
9.847729,9.2266
13.535137,13.436898
12.396461,12.360989
11.782616,11.888434
13.485221,13.328852
11.622782,11.640032
12.222624,12.540757
12.175339,11.906369
8.471183,7.986213
11.915596,12.036883
8.752891,8.389716
10.4638605,9.8826685
10.281577,10.021464
9.6946535,9.398029
8.56347,8.719625
13.548692,13.614995
8.311699,8.663943
10.611606,10.217419
12.484923,12.635257
12.622069,12.744081
8.5953455,8.575883
13.413573,13.34218
10.401539,10.002056
9.250218,9.64952
11.426322,11.713195
8.643357,9.049508
12.039677,12.121953
12.220595,12.507793
11.718896,11.845328
10.341772,10.137519
11.289288,11.096658
9.67958,10.174075
9.032241,9.528248
7.07844,6.822734
11.576458,11.63885
11.3983,11.16347
11.511871,11.453919
11.80491,11.757856
8.845753,9.430252
8.857795,8.438032
11.5639515,11.714956
13.416133,13.415062
11.269435,11.116225
11.575312,11.674718
9.369063,9.084723
11.394008,11.519819
13.300593,13.373076
10.060019,10.435441
13.422244,13.597251
10.951751,10.85645
12.172334,12.134848
10.772583,10.772567
11.227316,11.129925
11.105522,11.172842
8.188404,8.3833885
11.139809,10.903022
10.384539,9.851463
10.914825,10.9323635
8.099892,8.373621
13.613841,13.427033
9.742506,9.071425
10.895832,10.751899
11.324677,11.076348
12.83693,13.10883
10.302043,10.282188
12.255116,12.149582
11.8803835,11.704656
10.157065,9.833515
12.648024,12.674026
11.596453,11.649683
13.146754,13.176164
6.5813823,7.109499
12.207453,12.297554
10.702501,10.679651
12.9719,12.991081
11.894593,11.786128
13.379311,13.283687
9.39391,9.846458
10.496012,10.030795
10.795585,10.846867
12.176838,12.234132
10.789416,10.341557
11.605369,11.317169
11.25478,10.922731
10.959803,10.441615
13.878305,13.842088
13.75321,13.873834
13.875576,13.834475
8.896428,9.213188
12.572082,12.637676
13.106398,13.091048
11.347701,11.257688
11.105509,10.668697
10.308924,9.804357
11.48186,11.34206
10.939297,11.237725
12.786961,12.902321
10.099259,9.454419
12.613617,12.549324
9.500797,9.108485
9.069184,9.250774
13.880174,13.957002
10.497719,10.291052
13.642508,13.633884
12.484602,12.447428
10.377041,9.979511
9.848323,9.188225
11.510368,11.312377
11.73092,11.724821
9.886453,9.76166
9.771197,9.298355
12.93855,12.793548
9.931442,9.28512
