Epoch | Train Loss | Train R² | Val Loss | Val R²
Epoch 122 | Train Loss: 3.5754e-01 | R²: 0.8624 | Val Loss: 4.3067e-01 | R²: 0.8401
Epoch 123 | Train Loss: 3.6932e-01 | R²: 0.8578 | Val Loss: 4.5114e-01 | R²: 0.8325
Epoch 124 | Train Loss: 3.5987e-01 | R²: 0.8615 | Val Loss: 4.4566e-01 | R²: 0.8345
Epoch 125 | Train Loss: 3.5456e-01 | R²: 0.8635 | Val Loss: 4.3748e-01 | R²: 0.8376
Epoch 126 | Train Loss: 3.5688e-01 | R²: 0.8626 | Val Loss: 4.6337e-01 | R²: 0.8279
Epoch 127 | Train Loss: 3.5791e-01 | R²: 0.8622 | Val Loss: 4.7054e-01 | R²: 0.8253
Epoch 128 | Train Loss: 3.5376e-01 | R²: 0.8638 | Val Loss: 4.5765e-01 | R²: 0.8301
Epoch 129 | Train Loss: 3.4754e-01 | R²: 0.8662 | Val Loss: 4.2319e-01 | R²: 0.8429
Epoch 130 | Train Loss: 3.4406e-01 | R²: 0.8675 | Val Loss: 4.3305e-01 | R²: 0.8392
Epoch 131 | Train Loss: 3.6197e-01 | R²: 0.8607 | Val Loss: 4.5591e-01 | R²: 0.8307
Epoch 132 | Train Loss: 3.5573e-01 | R²: 0.8631 | Val Loss: 4.3967e-01 | R²: 0.8367
Epoch 133 | Train Loss: 3.4582e-01 | R²: 0.8669 | Val Loss: 4.4561e-01 | R²: 0.8345
Epoch 134 | Train Loss: 3.4706e-01 | R²: 0.8664 | Val Loss: 4.4029e-01 | R²: 0.8365
Epoch 135 | Train Loss: 3.4188e-01 | R²: 0.8684 | Val Loss: 4.5685e-01 | R²: 0.8304
Epoch 136 | Train Loss: 3.6700e-01 | R²: 0.8587 | Val Loss: 4.9056e-01 | R²: 0.8178
Epoch 137 | Train Loss: 3.6403e-01 | R²: 0.8599 | Val Loss: 4.4995e-01 | R²: 0.8329
Epoch 138 | Train Loss: 3.4703e-01 | R²: 0.8664 | Val Loss: 4.3508e-01 | R²: 0.8384
Epoch 139 | Train Loss: 3.3303e-01 | R²: 0.8718 | Val Loss: 4.2951e-01 | R²: 0.8405
Epoch 140 | Train Loss: 3.3844e-01 | R²: 0.8697 | Val Loss: 4.3422e-01 | R²: 0.8388
Epoch 141 | Train Loss: 3.3887e-01 | R²: 0.8695 | Val Loss: 4.3154e-01 | R²: 0.8398
Epoch 142 | Train Loss: 3.2843e-01 | R²: 0.8736 | Val Loss: 4.7316e-01 | R²: 0.8243
Epoch 143 | Train Loss: 3.3177e-01 | R²: 0.8723 | Val Loss: 4.3470e-01 | R²: 0.8386
Epoch 144 | Train Loss: 3.2389e-01 | R²: 0.8753 | Val Loss: 4.1931e-01 | R²: 0.8443
Epoch 145 | Train Loss: 3.2485e-01 | R²: 0.8749 | Val Loss: 4.5843e-01 | R²: 0.8298
Epoch 146 | Train Loss: 3.3241e-01 | R²: 0.8720 | Val Loss: 4.3158e-01 | R²: 0.8397
Epoch 147 | Train Loss: 3.3039e-01 | R²: 0.8728 | Val Loss: 4.1971e-01 | R²: 0.8442
Epoch 148 | Train Loss: 3.3396e-01 | R²: 0.8714 | Val Loss: 4.5191e-01 | R²: 0.8322
Epoch 149 | Train Loss: 3.2744e-01 | R²: 0.8739 | Val Loss: 4.3885e-01 | R²: 0.8370
Epoch 150 | Train Loss: 3.2167e-01 | R²: 0.8762 | Val Loss: 4.5214e-01 | R²: 0.8321
Epoch 151 | Train Loss: 3.3159e-01 | R²: 0.8723 | Val Loss: 4.5384e-01 | R²: 0.8315
Epoch 152 | Train Loss: 3.3635e-01 | R²: 0.8705 | Val Loss: 4.3369e-01 | R²: 0.8390
Epoch 153 | Train Loss: 3.4735e-01 | R²: 0.8663 | Val Loss: 4.5021e-01 | R²: 0.8328
Epoch 154 | Train Loss: 3.2066e-01 | R²: 0.8766 | Val Loss: 4.4015e-01 | R²: 0.8366
Epoch 155 | Train Loss: 3.1489e-01 | R²: 0.8788 | Val Loss: 4.2697e-01 | R²: 0.8415
Epoch 156 | Train Loss: 3.1019e-01 | R²: 0.8806 | Val Loss: 4.5439e-01 | R²: 0.8313
Epoch 157 | Train Loss: 3.2202e-01 | R²: 0.8760 | Val Loss: 4.1666e-01 | R²: 0.8453
Epoch 158 | Train Loss: 3.2909e-01 | R²: 0.8733 | Val Loss: 4.1702e-01 | R²: 0.8451
Epoch 159 | Train Loss: 3.1745e-01 | R²: 0.8778 | Val Loss: 4.2578e-01 | R²: 0.8419
Epoch 160 | Train Loss: 3.0541e-01 | R²: 0.8824 | Val Loss: 4.2638e-01 | R²: 0.8417
Epoch 161 | Train Loss: 3.1199e-01 | R²: 0.8799 | Val Loss: 4.3475e-01 | R²: 0.8386
Epoch 162 | Train Loss: 3.1155e-01 | R²: 0.8801 | Val Loss: 4.3753e-01 | R²: 0.8375
Epoch 163 | Train Loss: 3.0796e-01 | R²: 0.8814 | Val Loss: 4.2264e-01 | R²: 0.8431
Epoch 164 | Train Loss: 3.1001e-01 | R²: 0.8807 | Val Loss: 4.6846e-01 | R²: 0.8260
Epoch 165 | Train Loss: 3.0767e-01 | R²: 0.8816 | Val Loss: 4.2255e-01 | R²: 0.8431
Epoch 166 | Train Loss: 3.0904e-01 | R²: 0.8810 | Val Loss: 4.1437e-01 | R²: 0.8461
Epoch 167 | Train Loss: 3.0765e-01 | R²: 0.8816 | Val Loss: 4.0614e-01 | R²: 0.8492
